Start date (YYYY.MM.DD),Type (without icon),Name,Tags,URL
2011.05.20,Application,Photo Denoiser iOS,"Objective-C, UIKit, iOS",https://wp.darrarski.pl/2011/05/photodenoiser/
2013.04.02,Application,ShapeFlick,"Objective-C, SpriteKit, iOS",
2013.04.08,Application,Znany Lekarz iOS,"Objective-C, UIKit, iOS",https://apps.apple.com/app/id610303915
2013.04.10,Application,http://Charged.fm iOS app,"Objective-C, UIKit, iOS",https://www.behance.net/gallery/20162709/chargedfm
2013.05.13,Application,QC One Horti iOS app,"Objective-C, UIKit, iOS",https://qcone.com
2013.07.01,Application,SmartPass SVA Convergence,"Objective-C, UIKit, iOS",https://wp.darrarski.pl/2014/09/vodafone-smartpass-ios/
2013.10.24,Application,Positionly iOS,"Objective-C, UIKit, iOS",https://positionly.com
2013.11.13,Application,Aspireboard macOS app,"AppKit, Objective-C, macOS",https://www.elpassion.com/projects/aspireboard
2013.11.29,Application,QC One Agri iOS app,"CoreData, Objective-C, UIKit, iOS",https://qcone.com
2014.05.05,Application,iFinxS iOS,"CoreData, Objective-C, UIKit, iOS",https://apps.apple.com/app/id669946244
2014.05.08,Library,DRCollectionViewTableLayout-iOS,"Objective-C, UIKit, iOS",https://github.com/darrarski/DRCollectionViewTableLayout-iOS
2014.05.30,Application,F1RST-Media-iOS-App,"Objective-C, UIKit, iOS",https://www.elpassion.com/projects/f1rst
2014.09.18,Other,SwiftMustaches,"Swift, UIKit, iOS",https://github.com/darrarski/SwiftMustaches
2014.09.30,Application,ShopKonnect 2.0,"Swift, UIKit, iOS",https://www.shopconnect.live
2015.01.25,Application,Doc Planner (Znany Lekarz) iOS,"Objective-C, UIKit, iOS",https://www.elpassion.com/projects/docplanner
2015.02.24,Application,EL Agenda iOS,"Objective-C, UIKit, iOS",
2015.03.21,Library,DRSwipeMenu-iOS,"Objective-C, UIKit, iOS",https://github.com/darrarski/DRSwipeMenu-iOS
2015.04.14,Application,Legalsense iOS,"CoreData, Objective-C, UIKit, iOS",https://apps.apple.com/app/id999300861
2015.04.25,Library,DRCircularProgress-iOS,"Objective-C, UIKit, iOS",https://github.com/darrarski/DRCircularProgress-iOS
2015.05.29,Application,PayTango iOS,"Objective-C, UIKit, iOS",
2015.09.30,Application,Lavito iOS,"Swift, UIKit, iOS",https://www.elpassion.com/projects/lavito
2016.02.29,Application,AdFairs iOS,"Swift, UIKit, iOS",
2016.08.16,Application,UpTick Play iOS,"Swift, UIKit, iOS",https://www.uptick.com
2016.09.05,Application,RentLabs iOS,"Swift, UIKit, iOS",
2017.01.12,Application,Indoor PacMan,"Swift, UIKit, iBeacon, iOS",https://www.indoorway.com
2017.02.06,Library,SwipeToReveal-iOS,"Swift, UIKit, iOS",https://github.com/darrarski/SwipeToReveal-iOS
2017.06.07,Library,ScrollingBackgrounds,"Swift, UIKit, iOS",https://github.com/darrarski/ScrollingBackgrounds
2017.07.18,Application,Indoorway Office,"Swift, UIKit, iOS",https://www.indoorway.com
2017.11.03,Application,Booksy,"Objective-C, Swift, UIKit, iOS",https://booksy.com/
2017.11.07,Library,ScrollViewController,"Swift, UIKit, iOS",https://github.com/darrarski/ScrollViewController
2017.11.27,Library,CustomIntensityVisualEffectView,"Swift, UIKit, iOS",https://github.com/darrarski/CustomIntensityVisualEffectView
2018.02.12,Application,Avenue,"Swift, UIKit, iOS",
2018.06.11,Other,ARFashion,"ARKit, Swift, iOS",
2018.06.21,Application,Lovelooks,"Swift, iOS",https://lovelooks.com/
2018.09.04,Library,ScrollViewLayout,"Swift, UIKit, iOS",https://github.com/darrarski/ScrollViewLayout
2018.09.26,Other,JiraPlayground,Swift,
2019.02.26,Application,ReadingListCalendarApp,"AppKit, Swift, macOS",https://github.com/elpassion/ReadingListCalendarApp
2019.03.05,Application,Lifeness,"Swift, SwiftUI, iOS",https://apps.apple.com/app/id1458097934
2019.04.09,Application,eDirham,"Swift, UIKit, iOS",https://www.mof.gov.ae/En/About/programsProjects/Pages/EDirham.aspx
2019.07.11,Other,StateRestoration,"Swift, UIKit, iOS",https://github.com/darrarski/iOS-State-Restoration
2019.08.21,Library,GoogleSignIn-Swift,Swift,https://github.com/darrarski/GoogleSignIn-Swift
2019.12.18,Application,ELHub,"Swift, SwiftUI, iOS",
2020.02.08,Library,SwiftEndpoint,Swift,https://github.com/darrarski/SwiftEndpoint
2020.04.15,Application,http://XX.Network Messenger,"Swift, UIKit, iOS",https://xx.network/messenger/
2020.05.05,Application,Vooom iOS app,"Swift, UIKit, iOS",https://en.vooom.pl
2020.06.12,Application,GitHubBarApp,"AppKit, Swift, macOS",https://github.com/darrarski/github-status-bar
2020.08.17,Application,Spark,"Swift, SwiftUI, TCA, iOS",
2020.09.10,Application,WallpapersApp,"Swift, SwiftUI, TCA, iOS",https://github.com/darrarski/WallpapersStudio-iOS
2020.10.19,Application,Fitly Scanner,"ARKit, Swift, SwiftUI, TCA, iOS",https://fitly.ai
2020.11.06,Library,SideMenuTransition-iOS,"Swift, UIKit, iOS",https://github.com/darrarski/SideMenuTransition-iOS
2020.12.05,Other,Router-PoC,"Swift, UIKit, iOS",https://github.com/darrarski/Router-PoC
2020.12.11,Library,swiftui-app-icon-creator,"Swift, SwiftUI, iOS",https://github.com/darrarski/swiftui-app-icon-creator
2021.02.20,Application,TotalHours,"Swift, SwiftUI, TCA, iOS, macOS",https://github.com/darrarski/TotalHours-app
2021.03.01,Application,x-kom iOS,"Swift, UIKit, iOS",https://apps.apple.com/app/id1193315738
2021.04.27,Application,SwimCam,"Swift, SwiftUI, TCA, iOS",https://www.athlee.com
2021.06.07,Application,TV2 Play iOS & tvOS app,"Swift, UIKit, iOS, tvOS",https://apps.apple.com/app/id675096718
2021.06.17,Library,xcframework-maker,"Swift, macOS",https://github.com/darrarski/xcframework-maker
2021.08.29,Library,ImageOperations,"Swift, iOS",https://github.com/darrarski/swift-image-operations
2021.09.02,Library,Swift Composable Presentation,"Swift, TCA",https://github.com/darrarski/swift-composable-presentation
2021.10.29,Application,IDFire,"Swift, SwiftUI, TCA, iOS",
2021.12.06,Application,Location Tracker,"Swift, SwiftUI, TCA, iOS",
2021.12.21,Library,SortSwiftImports,"Swift, SwiftUI, iOS",https://github.com/darrarski/sort-swift-imports
2022.01.01,Application,MultiCam,"AVFoundation, Swift, SwiftUI, TCA, iOS",
2022.01.09,Library,SwiftUIMKMapView,"Swift, SwiftUI, iOS",https://github.com/darrarski/SwiftUIMKMapView
2022.01.13,Library,swiftui-tabs-view,"Swift, SwiftUI, iOS",https://github.com/darrarski/swiftui-tabs-view
2022.05.12,Library,Elixxir Messenger DB,"GRDB, Swift, iOS, macOS",https://git.xx.network/elixxir/client-ios-db
2022.05.31,Library,Elixxir dApps SDK,"Swift, iOS, macOS",https://git.xx.network/elixxir/elixxir-dapps-sdk-swift
2022.09.27,Application,Swifty Ledger,"Swift, SwiftUI, TCA, iOS, macOS",
2022.11.14,Library,Store Navigation Controller,"Swift, TCA, UIKit, iOS",https://github.com/darrarski/store-navigation-controller
2022.12.21,Application,Haven iOS,"Swift, SwiftUI, TCA, iOS",
2023.01.19,Library,SwiftUI Simple Table,"SwiftUI, iOS, macOS",https://github.com/darrarski/swiftui-simple-table
2023.07.02,Library,Swift Google Drive Client,"Swift, iOS, macOS",https://github.com/darrarski/swift-google-drive-client
2023.07.07,Library,Swift Dropbox Client,"Swift, iOS, macOS",https://github.com/darrarski/swift-dropbox-client
2023.08.09,Library,TCASwiftLog,"Swift, TCA",https://github.com/darrarski/tca-swift-log
2023.08.21,Application,Seer AI,"Swift, SwiftUI, TCA, iOS",https://apple.co/3XzScHQ
2023.08.29,Application,Darrarski.app,"Swift, SwiftUI, TCA, iOS, macOS",https://app.darrarski.pl
2023.11.05,Application,Interfungible Assets PoC app,"Swift, SwiftUI, TCA, iOS",
2024.07.20,Library,SwiftShell,"Swift, macOS",http://github.com/darrarski/swift-shell